direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,high_skew,fpmm_compare_high_skew_0011,fpmm_pool_share,True,8.459848191988175014118123089E-32,True,True,1,0,0,0,0.9962473197442573067850386437,0,0E-30,105.1694594257641111522533106,,,0
positive,2,high_skew,fpmm_compare_high_skew_0003,fpmm_pool_share,True,1.303926912844162771757250317E-30,True,True,1,0,0,0,0.9926809593188826047210197254,0,0E-29,104.1012840235662485323545551,,,0
positive,3,high_skew,fpmm_compare_high_skew_0007,fpmm_pool_share,True,6.275305711856023854047221962E-31,True,True,1,0,0,0,0.9926809593188826047210197243,0,0E-29,256.9897353909700609012793310,,,0
positive,4,high_skew,fpmm_compare_high_skew_0002,fpmm_pool_share,True,1.514200486561017581577335933E-29,True,True,1,0,0,0,0.7445299999541575936874539055,0,0E-26,141.9921873349635174403577393,,,0
positive,5,high_skew,fpmm_compare_high_skew_0006,fpmm_pool_share,True,5.089994563585605489744302898E-30,True,True,1,0,0,0,0.7445299999541575936874539053,0,0E-26,241.0693821863786636820509326,,,0
negative,1,high_skew,fpmm_compare_high_skew_0007,reference_parallel_lmsr_reserve_residual,True,1.9E-79,True,True,1,0,0,0,-0.3023503681361490002940297838,0,284.4422568370190618446238800,284.4422568370190618446238800,,,0
negative,2,high_skew,fpmm_compare_high_skew_0003,reference_parallel_lmsr_reserve_residual,True,0E-80,True,True,1,0,0,0,-0.1763433036991518046244898324,0,131.5538054696152494756991040,131.5538054696152494756991040,,,0
negative,3,high_skew,fpmm_compare_high_skew_0011,reference_parallel_lmsr_reserve_residual,True,8E-80,True,True,1,0,0,0,-0.1151197169354772419883068949,0,142.7629557074624767842203687,142.7629557074624767842203687,,,0
negative,4,high_skew,fpmm_compare_high_skew_0006,reference_parallel_lmsr_reserve_residual,True,3.297521227760940573940976832E-29,True,True,1,0,0,0,-0.0958624509618428799623167415,0,265.3859742570757312084659667,265.3859742570757312084659667,,,0
negative,5,high_skew,fpmm_compare_high_skew_0002,reference_parallel_lmsr_reserve_residual,True,7.419422762462116291367197871E-29,True,True,1,0,0,0,-0.0747213061776223348545992667,0,166.3087794056605849667727733,166.3087794056605849667727733,,,0
absolute,1,high_skew,fpmm_compare_high_skew_0011,fpmm_pool_share,True,8.459848191988175014118123089E-32,True,True,1,0,0,0,0.9962473197442573067850386437,0,0E-30,105.1694594257641111522533106,,,0
absolute,2,high_skew,fpmm_compare_high_skew_0003,fpmm_pool_share,True,1.303926912844162771757250317E-30,True,True,1,0,0,0,0.9926809593188826047210197254,0,0E-29,104.1012840235662485323545551,,,0
absolute,3,high_skew,fpmm_compare_high_skew_0007,fpmm_pool_share,True,6.275305711856023854047221962E-31,True,True,1,0,0,0,0.9926809593188826047210197243,0,0E-29,256.9897353909700609012793310,,,0
absolute,4,high_skew,fpmm_compare_high_skew_0002,fpmm_pool_share,True,1.514200486561017581577335933E-29,True,True,1,0,0,0,0.7445299999541575936874539055,0,0E-26,141.9921873349635174403577393,,,0
absolute,5,high_skew,fpmm_compare_high_skew_0006,fpmm_pool_share,True,5.089994563585605489744302898E-30,True,True,1,0,0,0,0.7445299999541575936874539053,0,0E-26,241.0693821863786636820509326,,,0
absolute,6,high_skew,fpmm_compare_high_skew_0010,fpmm_pool_share,True,1.002912449080147216728817943E-29,True,True,1,0,0,0,0.6474124101302304255200917914,0,0E-26,204.5580023213261021734337806,,,0
absolute,7,high_skew,fpmm_compare_high_skew_0001,fpmm_pool_share,True,9.438035652551723592296478179E-30,True,True,1,0,0,0,0.3109833968032384439573743934,0,0E-26,262.3082379738498177313393200,,,0
absolute,8,high_skew,fpmm_compare_high_skew_0005,fpmm_pool_share,True,2.821369465899365523254816260E-29,True,True,1,0,0,0,0.3109833968032384439573743934,0,0E-26,348.5461473198261739826822545,,,0
absolute,9,high_skew,fpmm_compare_high_skew_0007,reference_parallel_lmsr_reserve_residual,True,1.9E-79,True,True,1,0,0,0,-0.3023503681361490002940297838,0,284.4422568370190618446238800,284.4422568370190618446238800,,,0
absolute,10,high_skew,fpmm_compare_high_skew_0009,fpmm_pool_share,True,7.057800557111071365735600285E-30,True,True,1,0,0,0,0.2628077326380729513499073781,0,0E-26,340.5960197286258692607832945,,,0
