direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,monte_carlo,high_skew_boundary_mc_0012,reference_parallel_lmsr_reserve_residual,True,0E-81,True,True,1,0,0,0,0.039713873108871891166209237,0,444.5201209994461954698837313,444.5201209994461954698837313,,,0
positive,2,monte_carlo,high_skew_boundary_mc_0012,global_state_fungible_fees_reserve_residual,True,0E-81,True,True,1,0,0,0,0.039713873108871891166209237,0,444.5201209994461954698837313,444.5201209994461954698837313,6.546616652601624575883719473E-27,0,0
positive,3,monte_carlo,high_skew_boundary_mc_0005,reference_parallel_lmsr_reserve_residual,True,0E-81,True,True,1,0,0,0,0.0392621408357862130816407980,0,439.5520645970808870663801326,439.5520645970808870663801326,,,0
positive,4,monte_carlo,high_skew_boundary_mc_0005,global_state_fungible_fees_reserve_residual,True,0E-81,True,True,1,0,0,0,0.0392621408357862130816407980,0,439.5520645970808870663801326,439.5520645970808870663801326,6.546616652601624575883719473E-27,0,0
positive,5,monte_carlo,high_skew_boundary_mc_0015,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.031234105215970416474569840,0,642.2446703666137110191929011,642.2446703666137110191929011,,,0
negative,1,monte_carlo,high_skew_boundary_mc_0002,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.4256906557811103247449854561,0,325.4760092723191565863151365,325.4760092723191565863151365,,,0
negative,2,monte_carlo,high_skew_boundary_mc_0002,global_state_fungible_fees_reserve_residual,True,1E-82,True,True,1,0,0,0,-0.4256906557811103247449854561,0,325.4760092723191565863151365,325.4760092723191565863151365,7.050213617806116909243598808E-28,0,0
negative,3,monte_carlo,high_skew_boundary_mc_0008,reference_parallel_lmsr_reserve_residual,True,1.545015516697579600008831297E-29,True,True,1,0,0,0,-0.3402380075583335447061533202,0,567.0717906193890725980144806,567.0717906193890725980144805,,,0
negative,4,monte_carlo,high_skew_boundary_mc_0008,global_state_fungible_fees_reserve_residual,True,5E-80,True,True,1,0,0,0,-0.3402380075583335447061533202,0,567.0717906193890725980144806,567.0717906193890725980144805,4.657978972976230269284429607E-26,0,0
negative,5,monte_carlo,high_skew_boundary_mc_0009,reference_parallel_lmsr_reserve_residual,True,2.091938570083919694600737856E-29,True,True,1,0,0,0,-0.3035608522832736955662061962,0,823.7430730259538931118697136,823.7430730259538931118697136,,,0
absolute,1,monte_carlo,high_skew_boundary_mc_0002,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.4256906557811103247449854561,0,325.4760092723191565863151365,325.4760092723191565863151365,,,0
absolute,2,monte_carlo,high_skew_boundary_mc_0002,global_state_fungible_fees_reserve_residual,True,1E-82,True,True,1,0,0,0,-0.4256906557811103247449854561,0,325.4760092723191565863151365,325.4760092723191565863151365,7.050213617806116909243598808E-28,0,0
absolute,3,monte_carlo,high_skew_boundary_mc_0008,reference_parallel_lmsr_reserve_residual,True,1.545015516697579600008831297E-29,True,True,1,0,0,0,-0.3402380075583335447061533202,0,567.0717906193890725980144806,567.0717906193890725980144805,,,0
absolute,4,monte_carlo,high_skew_boundary_mc_0008,global_state_fungible_fees_reserve_residual,True,5E-80,True,True,1,0,0,0,-0.3402380075583335447061533202,0,567.0717906193890725980144806,567.0717906193890725980144805,4.657978972976230269284429607E-26,0,0
absolute,5,monte_carlo,high_skew_boundary_mc_0009,reference_parallel_lmsr_reserve_residual,True,2.091938570083919694600737856E-29,True,True,1,0,0,0,-0.3035608522832736955662061962,0,823.7430730259538931118697136,823.7430730259538931118697136,,,0
absolute,6,monte_carlo,high_skew_boundary_mc_0009,global_state_fungible_fees_reserve_residual,True,2E-82,True,True,1,0,0,0,-0.3035608522832736955662061962,0,823.7430730259538931118697136,823.7430730259538931118697136,2.164228489773047990625873784E-26,0,0
absolute,7,adversarial,high_skew_boundary_adv_0007,reference_parallel_lmsr_reserve_residual,True,1.9E-79,True,True,1,0,0,0,-0.3023503681361490002940297838,0,284.4422568370190618446238800,284.4422568370190618446238800,,,0
absolute,8,adversarial,high_skew_boundary_adv_0007,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,-0.3023503681361490002940297838,0,284.4422568370190618446238800,284.4422568370190618446238800,1.404510511101525634603377387E-26,0,0
absolute,9,adversarial,high_skew_boundary_adv_0015,global_state_fungible_fees_reserve_residual,True,3E-82,True,True,1,0,0,0,-0.1912862348582609984135205569,0,298.4536946343280959802754610,298.4536946343280959802754610,2.990434776294806268242024899E-26,3E-28,0
absolute,10,adversarial,high_skew_boundary_adv_0015,reference_parallel_lmsr_reserve_residual,True,2.0E-79,True,True,1,0,0,0,-0.1912862348582609984135205567,0,298.4536946343280959802754608,298.4536946343280959802754608,,,0
