direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,adversarial,paper_core_adv_0040,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1214577385637370339949307856,1.912426424849375147946453616E-27,1E-28,0
positive,2,adversarial,paper_core_adv_0040,reference_parallel_lmsr,True,7.143513198879891124497314024E-29,True,True,1,0,0,0.1214577385637370339949307855,,,0
positive,3,adversarial,paper_core_adv_0184,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1208248870715991751342775927,1.912426424849375147946453616E-27,1E-28,0
positive,4,adversarial,paper_core_adv_0184,reference_parallel_lmsr,True,7.143513198879891124497314024E-29,True,True,1,0,0,0.1208248870715991751342775926,,,0
positive,5,adversarial,paper_core_adv_0088,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.1205465731222711464979713603,,,0
negative,1,monte_carlo,paper_core_mc_0248,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,-0.0841403043176575594631289574,3.611396135878263933221069931E-27,9E-28,0
negative,2,monte_carlo,paper_core_mc_0248,reference_parallel_lmsr,True,8.696789723695451006988986505E-29,True,True,1,0,0,-0.0841403043176575594631289565,,,0
negative,3,monte_carlo,paper_core_mc_0040,reference_parallel_lmsr,True,1.101247057084738219630317922E-28,True,True,1,0,0,-0.0771907635967673105732608476,,,0
negative,4,monte_carlo,paper_core_mc_0040,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,-0.0771907635967673105732608476,1.134940285158822648756182634E-26,2E-28,0
negative,5,adversarial,paper_core_adv_0185,reference_parallel_lmsr,True,7.143513198879891124497314024E-29,True,True,1,0,0,-0.0764897089611710594662278063,,,0
absolute,1,adversarial,paper_core_adv_0040,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1214577385637370339949307856,1.912426424849375147946453616E-27,1E-28,0
absolute,2,adversarial,paper_core_adv_0040,reference_parallel_lmsr,True,7.143513198879891124497314024E-29,True,True,1,0,0,0.1214577385637370339949307855,,,0
absolute,3,adversarial,paper_core_adv_0184,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1208248870715991751342775927,1.912426424849375147946453616E-27,1E-28,0
absolute,4,adversarial,paper_core_adv_0184,reference_parallel_lmsr,True,7.143513198879891124497314024E-29,True,True,1,0,0,0.1208248870715991751342775926,,,0
absolute,5,adversarial,paper_core_adv_0088,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.1205465731222711464979713603,,,0
absolute,6,adversarial,paper_core_adv_0088,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1205465731222711464979713603,2.861266135713856300141295587E-27,0,0
absolute,7,adversarial,paper_core_adv_0136,global_state_fungible_fees_cohort_residual,True,0E-80,True,True,1,0,0,0.1201470413765768598712907546,8.403351528348231501850002668E-27,1E-28,0
absolute,8,adversarial,paper_core_adv_0136,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.1201470413765768598712907545,,,0
absolute,9,adversarial,paper_core_adv_0232,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.1199047001901187738997245101,,,0
absolute,10,adversarial,paper_core_adv_0232,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1199047001901187738997245101,2.861266135713856300141295587E-27,0,0
