run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,divergence_implemented,divergence_max_price_entry_diff,divergence_max_quote_diff,divergence_max_nav_diff,divergence_max_nav_per_deposit_diff,divergence_solvency_match,invariant_failures
deterministic,neutral_late_lp,Near-neutral market with one late LP joining after balanced trading.,reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
deterministic,neutral_late_lp,Near-neutral market with one late LP joining after balanced trading.,global_state_fungible_fees_cohort_residual,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,True,1.692259504427551766395253783E-29,3.318756508239871852862705333E-27,0,0,True,0
deterministic,skewed_late_lp,Skewed market where an LP joins after one-sided order flow develops.,reference_parallel_lmsr,3,100,25,11,primary,2.373209603267881507115591096E-29,True,True,2,True,1,0,0,False,,,,,,0
deterministic,skewed_late_lp,Skewed market where an LP joins after one-sided order flow develops.,global_state_fungible_fees_cohort_residual,3,100,25,11,primary,1E-80,True,True,2,True,1,0,0,True,1.931103403218438390843441723E-29,1.562319718237439645619824510E-26,0,0,True,0
deterministic,long_tail_late_lp,Long-tail market with many outcomes and one late LP entry.,reference_parallel_lmsr,8,100,25,10,primary,3.374692031740994479984785479E-29,True,True,2,True,1,0,0,False,,,,,,0
deterministic,long_tail_late_lp,Long-tail market with many outcomes and one late LP entry.,global_state_fungible_fees_cohort_residual,8,100,25,10,primary,4E-80,True,True,2,True,1,0,0,True,4.089545676090504386575819335E-29,4.113632320839174190388097129E-27,0,0,True,0
deterministic,early_vs_late_same_delta_b,Earlier and later LP cohorts both add the same delta-b under different market states.,reference_parallel_lmsr,3,100,25,12,primary,2.624120992910607646011639570E-29,True,True,3,True,1,0,0,False,,,,,,0
deterministic,early_vs_late_same_delta_b,Earlier and later LP cohorts both add the same delta-b under different market states.,global_state_fungible_fees_cohort_residual,3,100,25,12,primary,2E-80,True,True,3,True,1,0,0,True,2.636127865224893111038456986E-29,4.571362005618872722001083632E-27,0,0,True,0
deterministic,same_final_claims_different_timing,"Same final claims and LP size, but different LP entry timing for fairness/path-dependence comparison.",reference_parallel_lmsr,3,100,25,10,lp_before_second_trade|lp_after_second_trade,1E-80,True,True,2,True,2,0,0.00003325045902808599741449,False,,,,,,0
deterministic,same_final_claims_different_timing,"Same final claims and LP size, but different LP entry timing for fairness/path-dependence comparison.",global_state_fungible_fees_cohort_residual,3,100,25,10,lp_before_second_trade|lp_after_second_trade,0E-80,True,True,2,True,2,0,0.00003325045902808599741439,True,1.765644502063622099440143929E-29,2.553817375184889134398271775E-27,0,0,True,0
deterministic,cancellation_refund_path,"Cancellation path with active LP cohort, refunds, and post-refund LP residual claims.",reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
deterministic,cancellation_refund_path,"Cancellation path with active LP cohort, refunds, and post-refund LP residual claims.",global_state_fungible_fees_cohort_residual,3,100,25,9,primary,0E-80,True,True,2,True,1,0,0,True,1.765644502063622099440143929E-29,1.185701875453484651450107352E-26,0,1E-28,True,0
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",reference_parallel_lmsr,3,100,25,15,primary,3.709404702152548257295422586E-29,True,True,4,True,1,0,0,False,,,,,,0
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",global_state_fungible_fees_cohort_residual,3,100,25,15,primary,2E-80,True,True,4,True,1,0,0,True,1.391792870270238438400451547E-28,1.608465989152222864691681163E-26,1E-25,1E-27,True,0
deterministic,zero_flow_nav_invariance,"Zero-flow LP entry sanity check: no trades after entry, used for NAV invariance validation.",reference_parallel_lmsr,3,100,25,3,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
deterministic,zero_flow_nav_invariance,"Zero-flow LP entry sanity check: no trades after entry, used for NAV invariance validation.",global_state_fungible_fees_cohort_residual,3,100,25,3,primary,0E-80,True,True,2,True,1,0,0,True,1.749608034591205306934130252E-29,6.417475502583301159305912706E-27,0,0,True,0
deterministic,same_block_trade_reordering,Same-block reordering stress test around LP entry and adjacent trades.,reference_parallel_lmsr,3,100,25,10,lp_after_block_trade|lp_before_block_trade,2E-80,True,True,2,True,2,0,0.00002464681597011885414892,False,,,,,,0
deterministic,same_block_trade_reordering,Same-block reordering stress test around LP entry and adjacent trades.,global_state_fungible_fees_cohort_residual,3,100,25,10,lp_after_block_trade|lp_before_block_trade,0E-80,True,True,2,True,2,0,0.00002464681597011885414893,True,1.692229435583110898516010674E-29,8.734780043416597363130665602E-27,0,0,True,0
monte_carlo,paper_core_mc_0000,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,100,50,21,primary,2.293371126136235620733880613E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0000,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,16,100,50,21,primary,1E-81,True,True,4,True,1,0,0,True,4.405945576838167606209680654E-29,3.166935530439574711134954857E-27,0,0,True,0
monte_carlo,paper_core_mc_0001,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,200,0,18,primary,2.296802881476858128900545963E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0001,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,16,200,0,18,primary,1E-80,True,True,3,True,1,0,0,True,6.406482942619867138650672192E-29,2.944671956385052048233113715E-27,0,0,True,0
monte_carlo,paper_core_mc_0002,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,25,25,12,primary,1.942059842222420580735571916E-29,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0002,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,3,25,25,12,primary,0E-80,True,True,2,True,1,0,0,True,3.000148638133761304885656552E-29,1.028026875488818601257921579E-26,1E-26,0,True,0
monte_carlo,paper_core_mc_0003,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,50,25,20,primary,1.331354052328818386740688393E-28,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0003,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,3,50,25,20,primary,2E-80,True,True,3,True,1,0,0,True,8.673996582004805710442310690E-29,1.116035254433012576590719417E-26,1E-26,1E-28,True,0
monte_carlo,paper_core_mc_0004,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,50,25,16,primary,1.571163226246064548685448149E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0004,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,16,50,25,16,primary,5E-80,True,True,3,True,1,0,0,True,5.074286236225763537649341648E-29,2.908427917532921044051724913E-27,0,1E-28,True,0
monte_carlo,paper_core_mc_0005,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,200,0,20,primary,8.969264525753937093189190729E-30,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0005,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,16,200,0,20,primary,1E-80,True,True,3,True,1,0,0,True,2.126157399819769592513503189E-29,2.584748893837818594361020395E-27,1E-25,1E-27,True,0
monte_carlo,paper_core_mc_0006,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,50,50,15,primary,1.717433738251868173540463107E-29,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0006,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,16,50,50,15,primary,1E-80,True,True,3,True,1,0,0,True,2.158852937710018273052554001E-29,2.886671602281639687399447167E-27,0,0,True,0
monte_carlo,paper_core_mc_0007,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,25,25,11,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0007,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,8,25,25,11,primary,0E-80,True,True,2,True,1,0,0,True,7.365628705181636015752523259E-29,5.971820047571527678755880720E-27,0,0,True,0
monte_carlo,paper_core_mc_0008,Randomized active-LP cancellation path.,reference_parallel_lmsr,16,200,50,23,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0008,Randomized active-LP cancellation path.,global_state_fungible_fees_cohort_residual,16,200,50,23,primary,4E-80,True,True,2,True,1,0,0,True,4.307047730660685465664146046E-29,3.285260788455080245308963248E-27,0,1E-28,True,0
monte_carlo,paper_core_mc_0009,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,25,0,20,primary,1.664490104859896464677083280E-29,True,True,5,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0009,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,12,25,0,20,primary,3E-80,True,True,5,True,1,0,0,True,4.860679869382178462869477889E-29,4.030669888800306862306728280E-27,1E-25,4E-28,True,0
monte_carlo,paper_core_mc_0010,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,15,primary,3E-80,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0010,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,5,150,0,15,primary,1E-80,True,True,3,True,1,0,0,True,2.701180085075682639593985368E-29,9.340502659321008803895445643E-27,1E-26,1E-28,True,0
monte_carlo,paper_core_mc_0011,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,200,0,17,primary,1.367570708444986278094627765E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,paper_core_mc_0011,Randomized active-LP resolved market path.,global_state_fungible_fees_cohort_residual,12,200,0,17,primary,4E-81,True,True,4,True,1,0,0,True,1.401538381382797190038044763E-29,3.735008800950965880755602743E-27,1E-25,5E-28,True,0
monte_carlo,paper_core_mc_0012,Randomized active-LP cancellation path.,reference_parallel_lmsr,12,50,0,24,primary,1.571269116339037864822927299E-29,True,True,4,True,1,0,0,False,,,,,,0
