direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
positive,2,deterministic,skewed_late_lp,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1139392829117664504807242379,1.562319718237439645619824510E-26,0,0
positive,3,adversarial,paper_quick_adv_0040,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,,,0
positive,4,adversarial,paper_quick_adv_0040,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1013818647304912334936279088,1.622783236639624061137442721E-26,0,0
positive,5,adversarial,paper_quick_adv_0088,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.1008166892686887833882601907,,,0
negative,1,monte_carlo,paper_quick_mc_0040,reference_parallel_lmsr,True,2.040388172464356590876957936E-29,True,True,1,0,0,-0.0637629538366293352534342638,,,0
negative,2,monte_carlo,paper_quick_mc_0040,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,-0.0637629538366293352534342636,1.368886331323742983419380922E-26,3E-28,0
negative,3,adversarial,paper_quick_adv_0041,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,-0.0611068760198373333840159201,1.622783236639624061137442721E-26,4E-28,0
negative,4,adversarial,paper_quick_adv_0041,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,-0.0611068760198373333840159197,,,0
negative,5,adversarial,paper_quick_adv_0089,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.0599764144382116280161425843,,,0
absolute,1,deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
absolute,2,deterministic,skewed_late_lp,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1139392829117664504807242379,1.562319718237439645619824510E-26,0,0
absolute,3,adversarial,paper_quick_adv_0040,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,,,0
absolute,4,adversarial,paper_quick_adv_0040,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.1013818647304912334936279088,1.622783236639624061137442721E-26,0,0
absolute,5,adversarial,paper_quick_adv_0088,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.1008166892686887833882601907,,,0
absolute,6,adversarial,paper_quick_adv_0088,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,0.1008166892686887833882601907,1.100191195178633114352469203E-26,0,0
absolute,7,adversarial,paper_quick_adv_0024,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.0986309306945858388024276514,,,0
absolute,8,adversarial,paper_quick_adv_0024,global_state_fungible_fees_cohort_residual,True,1E-80,True,True,1,0,0,0.0986309306945858388024276514,1.622783236639624061137442721E-26,0,0
absolute,9,adversarial,paper_quick_adv_0072,global_state_fungible_fees_cohort_residual,True,2E-80,True,True,1,0,0,0.0986309306945858388024276514,1.100191195178633114352469203E-26,1E-28,0
absolute,10,adversarial,paper_quick_adv_0072,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.0986309306945858388024276513,,,0
