run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,divergence_implemented,divergence_max_price_entry_diff,divergence_max_quote_diff,divergence_max_nav_diff,divergence_max_nav_per_deposit_diff,divergence_solvency_match,invariant_failures
deterministic,neutral_late_lp,Near-neutral market with one late LP joining after balanced trading.,reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
deterministic,neutral_late_lp,Near-neutral market with one late LP joining after balanced trading.,global_state_avm_fixed_point,3,100,25,9,primary,0.000000,True,True,2,True,1,0,0,True,0.000001674266821179051124960972167,0.0002599711876990581152712635281,0.00911734683804863912933996,0.000205913850600372051010523,True,0
deterministic,skewed_late_lp,Skewed market where an LP joins after one-sided order flow develops.,reference_parallel_lmsr,3,100,25,11,primary,2.373209603267881507115591096E-29,True,True,2,True,1,0,0,False,,,,,,0
deterministic,skewed_late_lp,Skewed market where an LP joins after one-sided order flow develops.,global_state_avm_fixed_point,3,100,25,11,primary,0.000000,True,True,2,True,1,0,0,True,0.000001543816269511953114647468438,0.0001601739538605713640244830268,0.01015249159352991674002027,0.0001736423658812895501370287,True,0
deterministic,long_tail_late_lp,Long-tail market with many outcomes and one late LP entry.,reference_parallel_lmsr,8,100,25,10,primary,3.374692031740994479984785479E-29,True,True,2,True,1,0,0,False,,,,,,0
deterministic,long_tail_late_lp,Long-tail market with many outcomes and one late LP entry.,global_state_avm_fixed_point,8,100,25,10,primary,0.000000,True,True,2,True,1,0,0,True,0.000004339100716738769441715082241,0.0003619780695386808663559983934,0.0047100831577527275344611,0.000034857485713217576905006,True,0
deterministic,early_vs_late_same_delta_b,Earlier and later LP cohorts both add the same delta-b under different market states.,reference_parallel_lmsr,3,100,25,12,primary,2.624120992910607646011639570E-29,True,True,3,True,1,0,0,False,,,,,,0
deterministic,early_vs_late_same_delta_b,Earlier and later LP cohorts both add the same delta-b under different market states.,global_state_avm_fixed_point,3,100,25,12,primary,0.000000,True,True,3,True,1,0,0,True,0.000001091925925439251479172753729,0.0004519362937948271981428539087,0.0493653086190626402549119,0.0010842896092769601494389952,True,0
deterministic,same_final_claims_different_timing,"Same final claims and LP size, but different LP entry timing for fairness/path-dependence comparison.",reference_parallel_lmsr,3,100,25,10,lp_before_second_trade|lp_after_second_trade,1E-80,True,True,2,True,2,0,0.00003325045902808599741449,False,,,,,,0
deterministic,same_final_claims_different_timing,"Same final claims and LP size, but different LP entry timing for fairness/path-dependence comparison.",global_state_avm_fixed_point,3,100,25,10,lp_before_second_trade|lp_after_second_trade,0.000000,True,True,2,True,2,0,0.00003462500000000000000000,True,8.090907413266354503657389948E-7,0.0003090019717314717198869919452,0.02001596837647731072404076,0.0005073352644054296722666148,True,0
deterministic,cancellation_refund_path,"Cancellation path with active LP cohort, refunds, and post-refund LP residual claims.",reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,False,,,,,,0
deterministic,cancellation_refund_path,"Cancellation path with active LP cohort, refunds, and post-refund LP residual claims.",global_state_avm_fixed_point,3,100,25,9,primary,0.000000,True,True,2,True,1,0,0,True,8.090907413266354503657389948E-7,0.0004584137568960801975524418113,0.01412605678480091211714012,0.0003130938320147387561301628,True,0
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",reference_parallel_lmsr,3,100,25,15,primary,3.709404702152548257295422586E-29,True,True,4,True,1,0,0,False,,,,,,0
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",global_state_avm_fixed_point,3,100,25,15,primary,0.000000,True,True,4,True,1,0,0,True,0.000001903997667157303409927798321,0.0002013439513466017426627833711,0.4405342402905773416621745,0.0070889888739605357983655066,True,0
deterministic,zero_flow_nav_invariance,"Zero-flow LP entry sanity check: no trades after entry, used for NAV invariance validation.",reference_parallel_lmsr,3,100,25,3,primary,1E-80,True,True,2,True,1,0,0,False,,,,,,0
deterministic,zero_flow_nav_invariance,"Zero-flow LP entry sanity check: no trades after entry, used for NAV invariance validation.",global_state_avm_fixed_point,3,100,25,3,primary,0.000000,True,True,2,True,1,0,0,True,7.309178807925100511373116376E-7,0.0002782871923430726563511758764,0.0001066699229900628135846,8.203891661850115120157E-7,True,0
deterministic,same_block_trade_reordering,Same-block reordering stress test around LP entry and adjacent trades.,reference_parallel_lmsr,3,100,25,10,lp_after_block_trade|lp_before_block_trade,2E-80,True,True,2,True,2,0,0.00002464681597011885414892,False,,,,,,0
deterministic,same_block_trade_reordering,Same-block reordering stress test around LP entry and adjacent trades.,global_state_avm_fixed_point,3,100,25,10,lp_after_block_trade|lp_before_block_trade,0.000000,True,True,2,True,2,0,0.00002485000000000000000002,True,0.000001062325799853698419227876468,0.0004165642835833683861458343439,0.00533544211366058567835003,0.0001559256053108139540476697,True,0
monte_carlo,layer_c_mc_0000,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,50,0,18,primary,4.998624936380934272019646244E-29,True,True,4,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0000,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,50,0,18,primary,0.000000,True,True,4,True,1,0,0,True,0.000003090315518744037085969438730,0.0004262006031475290721366269800,0.4189798782912490538364579,0.0050247788200943717296865400,True,0
monte_carlo,layer_c_mc_0001,Randomized active-LP cancellation path.,reference_parallel_lmsr,8,50,25,15,primary,0E-80,True,True,2,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0001,Randomized active-LP cancellation path.,global_state_avm_fixed_point,8,50,25,15,primary,0.000000,True,True,2,True,1,0,0,True,0.000002778360175374451820503440323,0.0002540155755064720776935061508,0.00076199257129758180330830,0.0000094495884112423777463515,True,0
monte_carlo,layer_c_mc_0002,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,0,16,primary,4E-80,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0002,Randomized active-LP resolved market path.,global_state_avm_fixed_point,3,150,0,16,primary,0.000000,True,True,3,True,1,0,0,True,0.000001106667081443436748889410907,0.0002887998228164607958098297053,0.00847872051933077060634272,0.000377966681699599644801498,True,0
monte_carlo,layer_c_mc_0003,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,13,primary,0.0,True,True,3,True,1,0,0,False,,,,,,0
monte_carlo,layer_c_mc_0003,Randomized active-LP resolved market path.,global_state_avm_fixed_point,5,150,0,13,primary,0.0,True,True,3,True,1,0,0,True,0,0.0002875349678451816098657261726,0.0427764094106559596300344,0.000459153213875268580494847,True,0
monte_carlo,layer_c_mc_0004,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,100,25,12,primary,4E-80,True,True,3,True,1,0,0,False,,,,,,0
