direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,monte_carlo,layer_c_low_tail_mc_0002,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.9094574010420938551671558382,,,0
positive,2,monte_carlo,layer_c_low_tail_mc_0002,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.9093619250854120004686958495,0.002420159801851840531410217106,0.00009547595668185469845998869,0
positive,3,adversarial,layer_c_low_tail_adv_0007,reference_parallel_lmsr,True,1.9E-79,True,True,1,0,0,0.8925116549906999942156377147,,,0
positive,4,adversarial,layer_c_low_tail_adv_0003,reference_parallel_lmsr,True,0E-80,True,True,1,0,0,0.8925116549906999942156377145,,,0
positive,5,adversarial,layer_c_low_tail_adv_0003,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.8924651006128251048035158231,0.09519450749194777533648846332,0.0000465543778748894121218917,0
negative,1,monte_carlo,layer_c_low_tail_mc_0008,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.297156085429954516446006979,0.01539927737764964337197544627,0.000006968421881379759349869,0
negative,2,monte_carlo,layer_c_low_tail_mc_0008,reference_parallel_lmsr,True,1.545015516697579600008831297E-29,True,True,1,0,0,-0.2971491170080731366866571101,,,0
negative,3,monte_carlo,layer_c_low_tail_mc_0009,reference_parallel_lmsr,True,2.091938570083919694600737856E-29,True,True,1,0,0,-0.277070995129956941146426560,,,0
negative,4,monte_carlo,layer_c_low_tail_mc_0009,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.277067903591621502474205186,0.002126812449860944930385838545,0.000016904100248777997817574,0
negative,5,monte_carlo,layer_c_low_tail_mc_0004,reference_parallel_lmsr,True,1E-80,True,True,1,0,0,-0.0597413264370635740457011699,,,2
absolute,1,monte_carlo,layer_c_low_tail_mc_0002,reference_parallel_lmsr,True,2E-80,True,True,1,0,0,0.9094574010420938551671558382,,,0
absolute,2,monte_carlo,layer_c_low_tail_mc_0002,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.9093619250854120004686958495,0.002420159801851840531410217106,0.00009547595668185469845998869,0
absolute,3,adversarial,layer_c_low_tail_adv_0007,reference_parallel_lmsr,True,1.9E-79,True,True,1,0,0,0.8925116549906999942156377147,,,0
absolute,4,adversarial,layer_c_low_tail_adv_0003,reference_parallel_lmsr,True,0E-80,True,True,1,0,0,0.8925116549906999942156377145,,,0
absolute,5,adversarial,layer_c_low_tail_adv_0003,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.8924651006128251048035158231,0.09519450749194777533648846332,0.0000465543778748894121218917,0
absolute,6,adversarial,layer_c_low_tail_adv_0007,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.8924651006128251048035158231,0.09519450749194777533648846332,0.0000465543778748894121218917,0
absolute,7,adversarial,layer_c_low_tail_adv_0011,reference_parallel_lmsr,True,8E-80,True,True,1,0,0,0.8889906795524969017274837350,,,0
absolute,8,adversarial,layer_c_low_tail_adv_0015,reference_parallel_lmsr,True,2.0E-79,True,True,1,0,0,0.8889906795524969017274837348,,,0
absolute,9,adversarial,layer_c_low_tail_adv_0011,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.8889571725858451161584086945,0.1644889195602462999026792174,0.0000335069666517855690750405,0
absolute,10,adversarial,layer_c_low_tail_adv_0015,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.8889571725858451161584086945,0.1644889195602462999026792174,0.0000335069666517855690750405,0
