direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,deterministic,skewed_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1141896878868264463342288263,0.0001601739538605713640244830268,0.0001736423658812895501370287,0
positive,2,deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
positive,3,adversarial,sweep_floor_1000_margin_1_adv_0026,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1030036798608631487107382268,0.0006185940398989919724141447173,0.001377851062169428821545419,0
positive,4,adversarial,sweep_floor_1000_margin_1_adv_0058,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1014502813770336484498351865,0.0007833951088384745161811927200,0.000437557308580314828770292,0
positive,5,adversarial,sweep_floor_1000_margin_1_adv_0026,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,,,0
negative,1,adversarial,sweep_floor_1000_margin_1_adv_0027,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,-0.0611068760198373333840159197,,,0
negative,2,adversarial,sweep_floor_1000_margin_1_adv_0059,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.0599764144382116280161425843,,,0
negative,3,adversarial,sweep_floor_1000_margin_1_adv_0027,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0594848747546575571683110360,0.0006185940398989919724141447173,0.0013780371179986878474575887,0
negative,4,adversarial,sweep_floor_1000_margin_1_adv_0059,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0593426751442028305820301509,0.0007833951088384745161811927200,0.0004377043994699248340888544,0
negative,5,adversarial,sweep_floor_1000_margin_1_adv_0049,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.0553796248386019507090109061,,,0
absolute,1,deterministic,skewed_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1141896878868264463342288263,0.0001601739538605713640244830268,0.0001736423658812895501370287,0
absolute,2,deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
absolute,3,adversarial,sweep_floor_1000_margin_1_adv_0026,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1030036798608631487107382268,0.0006185940398989919724141447173,0.001377851062169428821545419,0
absolute,4,adversarial,sweep_floor_1000_margin_1_adv_0058,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1014502813770336484498351865,0.0007833951088384745161811927200,0.000437557308580314828770292,0
absolute,5,adversarial,sweep_floor_1000_margin_1_adv_0026,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,,,0
absolute,6,adversarial,sweep_floor_1000_margin_1_adv_0058,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.1008166892686887833882601907,,,0
absolute,7,adversarial,sweep_floor_1000_margin_1_adv_0016,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0986314090712940965621078482,0.0006185940398989919724141447173,4.783767082577596801968E-7,0
absolute,8,adversarial,sweep_floor_1000_margin_1_adv_0048,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0986314090712940965621078482,0.0007833951088384745161811927200,4.783767082577596801968E-7,0
absolute,9,adversarial,sweep_floor_1000_margin_1_adv_0016,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.0986309306945858388024276514,,,0
absolute,10,adversarial,sweep_floor_1000_margin_1_adv_0048,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.0986309306945858388024276513,,,0
