direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,deterministic,skewed_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1141896878868264463342288263,0.0001601739538605713640244830268,0.0001736423658812895501370287,0
positive,2,deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
positive,3,adversarial,layer_c_sell_heavy_adv_0000,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1030036798608631487107382268,0.0006185940398989919724141447173,0.001377851062169428821545419,0
positive,4,adversarial,layer_c_sell_heavy_adv_0004,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1014502813770336484498351865,0.0007833951088384745161811927200,0.000437557308580314828770292,0
positive,5,adversarial,layer_c_sell_heavy_adv_0000,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,,,0
negative,1,adversarial,layer_c_sell_heavy_adv_0001,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,-0.0611068760198373333840159197,,,0
negative,2,adversarial,layer_c_sell_heavy_adv_0005,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,-0.0599764144382116280161425843,,,0
negative,3,adversarial,layer_c_sell_heavy_adv_0001,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0594848747546575571683110360,0.0006185940398989919724141447173,0.0013780371179986878474575887,0
negative,4,adversarial,layer_c_sell_heavy_adv_0005,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0593426751442028305820301509,0.0007833951088384745161811927200,0.0004377043994699248340888544,0
negative,5,monte_carlo,layer_c_sell_heavy_mc_0018,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,-0.0477073338817463047754726581,0.0006201831912279510804378509504,0.009189070495015529848618374,0
absolute,1,deterministic,skewed_late_lp,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1141896878868264463342288263,0.0001601739538605713640244830268,0.0001736423658812895501370287,0
absolute,2,deterministic,skewed_late_lp,reference_parallel_lmsr,True,2.373209603267881507115591096E-29,True,True,1,0,0,0.1139392829117664504807242379,,,0
absolute,3,adversarial,layer_c_sell_heavy_adv_0000,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1030036798608631487107382268,0.0006185940398989919724141447173,0.001377851062169428821545419,0
absolute,4,adversarial,layer_c_sell_heavy_adv_0004,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.1014502813770336484498351865,0.0007833951088384745161811927200,0.000437557308580314828770292,0
absolute,5,adversarial,layer_c_sell_heavy_adv_0000,reference_parallel_lmsr,True,1.726236382983195709702754400E-28,True,True,1,0,0,0.1013818647304912334936279088,,,0
absolute,6,adversarial,layer_c_sell_heavy_adv_0004,reference_parallel_lmsr,True,2.353958704067994149594665090E-29,True,True,1,0,0,0.1008166892686887833882601907,,,0
absolute,7,adversarial,layer_c_sell_heavy_adv_0002,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0904698901417921367468538698,0.0003729119095222642078591324054,0.001404493434216966553556172,0
absolute,8,adversarial,layer_c_sell_heavy_adv_0006,global_state_avm_fixed_point,True,0.000000,True,True,1,0,0,0.0889552917398769934598886510,0.0005659177744858433003807021166,0.000446850819223305349794446,0
absolute,9,adversarial,layer_c_sell_heavy_adv_0002,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0888129031491691539266245877,,,0
absolute,10,adversarial,layer_c_sell_heavy_adv_0006,reference_parallel_lmsr,True,2.339249273041892416921891970E-29,True,True,1,0,0,0.0883070956471122555216266810,,,0
