name,scheme,linear_lambda,result_count,price_continuity_pass_rate,slippage_pass_rate,solvency_pass_rate,mean_fairness_gap_nav_per_deposit,max_abs_fairness_gap_nav_per_deposit,positive_fairness_rows,negative_fairness_rows,near_zero_fairness_rows,mean_divergence_max_nav_per_deposit_diff_vs_reference,invariant_failure_count,source,summary_path
linear_lambda_0020,linear_lambda,0.020,340,1,1,1,0.03848783875572365904047665409,0.2024992876114914472650003524,270,70,46,7.147058823529411764705882353E-29,0,paper_candidates,contracts/research/active_lp/output/residual_weight_paper_candidates/parameter_summary.csv
linear_lambda_0020,linear_lambda,0.020,84,1,1,1,0.01781881201733012530802603983,0.2024992876114914472650003524,50,34,22,1.261904761904761904761904762E-28,0,tune,contracts/research/active_lp/output/residual_weight_sweep_tune/parameter_summary.csv
linear_lambda_0025,linear_lambda,0.025,340,1,1,1,0.02267138148336782542275468296,0.1983976234235545761904366513,244,96,76,7.647058823529411764705882353E-29,0,paper_candidates,contracts/research/active_lp/output/residual_weight_paper_candidates/parameter_summary.csv
linear_lambda_0025,linear_lambda,0.025,84,1,1,1,-0.001739081727436282946984580533,0.1983976234235545761904366513,36,48,20,1.059523809523809523809523810E-28,0,tune,contracts/research/active_lp/output/residual_weight_sweep_tune/parameter_summary.csv
linear_lambda_0030,linear_lambda,0.030,340,1,1,1,0.007489918654086985220024509726,0.1945524037998228715518311886,226,114,72,7.794117647058823529411764706E-29,0,paper_candidates,contracts/research/active_lp/output/residual_weight_paper_candidates/parameter_summary.csv
linear_lambda_0030,linear_lambda,0.030,84,1,1,1,-0.02034256996316576678106589048,0.1945524037998228715518311886,30,54,16,8.928571428571428571428571429E-29,0,tune,contracts/research/active_lp/output/residual_weight_sweep_tune/parameter_summary.csv
linear_lambda_0031,linear_lambda,0.031,340,1,1,1,0.004525910933043831935658556024,0.1973710636160420812791902447,210,130,78,7.647058823529411764705882353E-29,0,paper_tight,contracts/research/active_lp/output/residual_weight_paper_tight/parameter_summary.csv
linear_lambda_0032,linear_lambda,0.032,340,1,1,1,0.001585219310883530098470708873,0.2041151532732801966439905304,202,138,92,6.5E-29,0,paper_tight,contracts/research/active_lp/output/residual_weight_paper_tight/parameter_summary.csv
linear_lambda_003225,linear_lambda,0.03225,340,1,1,1,0.0008536518861781128802701316024,0.2057887165170990153346996449,202,138,92,6.352941176470588235294117647E-29,0,paper_midpoint,contracts/research/active_lp/output/residual_weight_paper_midpoint/parameter_summary.csv
linear_lambda_003250,linear_lambda,0.03250,340,1,1,1,0.0001235167396626046046868101897,0.2074573402207744474909737779,202,138,90,7.941176470588235294117647059E-29,0,paper_midpoint,contracts/research/active_lp/output/residual_weight_paper_midpoint/parameter_summary.csv
linear_lambda_003275,linear_lambda,0.03275,340,1,1,1,-0.0006051910414658413031006701532,0.2091210462207410614484854729,186,154,90,7.588235294117647058823529412E-29,0,paper_midpoint,contracts/research/active_lp/output/residual_weight_paper_midpoint/parameter_summary.csv
linear_lambda_0033,linear_lambda,0.033,340,1,1,1,-0.001332476344990322543377097129,0.2107798562249118095297208575,184,156,90,7.058823529411764705882352941E-29,0,paper_tight,contracts/research/active_lp/output/residual_weight_paper_tight/parameter_summary.csv
linear_lambda_0035,linear_lambda,0.035,84,1,1,1,-0.03806382544539750193247481273,0.1982386563342177141085637180,26,58,10,1.095238095238095238095238095E-28,0,tune,contracts/research/active_lp/output/residual_weight_sweep_tune/parameter_summary.csv
linear_lambda_0040,linear_lambda,0.040,84,1,1,1,-0.05496760235747874761363881930,0.2270281377851376457023461016,22,62,6,1.011904761904761904761904762E-28,0,tune,contracts/research/active_lp/output/residual_weight_sweep_tune/parameter_summary.csv
linear_lambda_005,linear_lambda,0.05,84,1,1,1,-0.08655026388263652396068656402,0.2800303113281133146365403366,22,62,4,9.523809523809523809523809524E-29,0,fine,contracts/research/active_lp/output/residual_weight_sweep_fine/parameter_summary.csv
