run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,invariant_failures
deterministic,neutral_late_lp,Near-neutral market with one late LP joining after balanced trading.,reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,0
deterministic,skewed_late_lp,Skewed market where an LP joins after one-sided order flow develops.,reference_parallel_lmsr,3,100,25,11,primary,2.373209603267881507115591096E-29,True,True,2,True,1,0,0,0
deterministic,long_tail_late_lp,Long-tail market with many outcomes and one late LP entry.,reference_parallel_lmsr,8,100,25,10,primary,3.374692031740994479984785479E-29,True,True,2,True,1,0,0,0
deterministic,early_vs_late_same_delta_b,Earlier and later LP cohorts both add the same delta-b under different market states.,reference_parallel_lmsr,3,100,25,12,primary,2.624120992910607646011639570E-29,True,True,3,True,1,0,0,0
deterministic,same_final_claims_different_timing,"Same final claims and LP size, but different LP entry timing for fairness/path-dependence comparison.",reference_parallel_lmsr,3,100,25,10,lp_before_second_trade|lp_after_second_trade,1E-80,True,True,2,True,2,0,0.00003325045902808599741449,0
deterministic,cancellation_refund_path,"Cancellation path with active LP cohort, refunds, and post-refund LP residual claims.",reference_parallel_lmsr,3,100,25,9,primary,2E-80,True,True,2,True,1,0,0,0
deterministic,repeated_lp_entries,"Multiple LP cohorts join during active trading, including after an intermediate sell.",reference_parallel_lmsr,3,100,25,15,primary,3.709404702152548257295422586E-29,True,True,4,True,1,0,0,0
deterministic,zero_flow_nav_invariance,"Zero-flow LP entry sanity check: no trades after entry, used for NAV invariance validation.",reference_parallel_lmsr,3,100,25,3,primary,1E-80,True,True,2,True,1,0,0,0
deterministic,same_block_trade_reordering,Same-block reordering stress test around LP entry and adjacent trades.,reference_parallel_lmsr,3,100,25,10,lp_after_block_trade|lp_before_block_trade,2E-80,True,True,2,True,2,0,0.00002464681597011885414892,0
monte_carlo,paper_core_mc_0000,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,100,50,21,primary,2.293371126136235620733880613E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0001,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,200,0,18,primary,2.296802881476858128900545963E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0002,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,25,25,12,primary,1.942059842222420580735571916E-29,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0003,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,50,25,20,primary,1.331354052328818386740688393E-28,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0004,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,50,25,16,primary,1.571163226246064548685448149E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0005,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,200,0,20,primary,8.969264525753937093189190729E-30,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0006,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,50,50,15,primary,1.717433738251868173540463107E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0007,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,25,25,11,primary,1E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0008,Randomized active-LP cancellation path.,reference_parallel_lmsr,16,200,50,23,primary,1E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0009,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,25,0,20,primary,1.664490104859896464677083280E-29,True,True,5,True,1,0,0,0
monte_carlo,paper_core_mc_0010,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,15,primary,3E-80,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0011,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,200,0,17,primary,1.367570708444986278094627765E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0012,Randomized active-LP cancellation path.,reference_parallel_lmsr,12,50,0,24,primary,1.571269116339037864822927299E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0013,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,100,0,14,primary,3.264764359105033522314688567E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0014,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,50,25,15,primary,3E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0015,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,200,50,18,primary,1E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0016,Randomized active-LP cancellation path.,reference_parallel_lmsr,8,150,25,19,primary,1.480738044380682856067302931E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0017,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,25,50,19,primary,7.292239352434310068965936688E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0018,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,150,50,18,primary,4.577005494270992786846887984E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0019,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,50,50,21,primary,1.4E-79,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0020,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,150,0,15,primary,1E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0021,Randomized active-LP cancellation path.,reference_parallel_lmsr,12,100,50,20,primary,2.212780987385329102348199059E-29,True,True,5,True,1,0,0,0
monte_carlo,paper_core_mc_0022,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,200,0,16,primary,2.163660420782297792865247396E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0023,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,200,25,21,primary,7.063585467477576081596152915E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0024,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,150,50,23,primary,3.105029316521551472909433163E-29,True,True,5,True,1,0,0,0
monte_carlo,paper_core_mc_0025,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,200,25,20,primary,3.323627377144393565317101231E-29,True,True,5,True,1,0,0,0
monte_carlo,paper_core_mc_0026,Randomized active-LP cancellation path.,reference_parallel_lmsr,3,50,50,16,primary,4E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_core_mc_0027,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,150,50,19,primary,2.615823360614098146445680361E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0028,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,200,50,13,primary,3.446168272662058902488241072E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0029,Randomized active-LP resolved market path.,reference_parallel_lmsr,16,50,50,18,primary,1.795535551494481464988599375E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_core_mc_0030,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,150,0,17,primary,3.823305975131101562352955638E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_core_mc_0031,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,200,0,16,primary,1.188042202456457841228102994E-29,True,True,3,True,1,0,0,0
