direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,fairness_gap_nav_per_deposit,invariant_failures
positive,1,monte_carlo,paper_quick_mc_0049,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.0612150296279979080731779135,0
positive,2,monte_carlo,paper_quick_mc_0029,reference_parallel_lmsr,True,1.771685969106177454263616479E-29,True,True,1,0,0,0.0449322730719803026147505258,0
positive,3,monte_carlo,paper_quick_mc_0011,reference_parallel_lmsr,True,2.425292012351642770663578643E-29,True,True,1,0,0,0.0395454237639616796959655389,0
positive,4,monte_carlo,paper_quick_mc_0050,reference_parallel_lmsr,True,8.002100055802891919539174941E-29,True,True,1,0,0,0.0391823160654158494984529023,0
positive,5,monte_carlo,paper_quick_mc_0039,reference_parallel_lmsr,True,4.652438973324767975508992382E-29,True,True,1,0,0,0.0386294867677368694024673671,0
negative,1,monte_carlo,paper_quick_mc_0040,reference_parallel_lmsr,True,2.040388172464356590876957936E-29,True,True,1,0,0,-0.0637629538366293352534342638,0
negative,2,monte_carlo,paper_quick_mc_0025,reference_parallel_lmsr,True,5E-80,True,True,1,0,0,-0.0572137639846448223423533351,0
negative,3,monte_carlo,paper_quick_mc_0016,reference_parallel_lmsr,True,3.272884609945784148153611250E-29,True,True,1,0,0,-0.0444976204240731570698482298,0
negative,4,monte_carlo,paper_quick_mc_0034,reference_parallel_lmsr,True,1.894970869560399459792728364E-29,True,True,1,0,0,-0.0392158591592460667229616930,0
negative,5,monte_carlo,paper_quick_mc_0001,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0294829691207040384417039526,0
absolute,1,monte_carlo,paper_quick_mc_0040,reference_parallel_lmsr,True,2.040388172464356590876957936E-29,True,True,1,0,0,-0.0637629538366293352534342638,0
absolute,2,monte_carlo,paper_quick_mc_0049,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,0.0612150296279979080731779135,0
absolute,3,monte_carlo,paper_quick_mc_0025,reference_parallel_lmsr,True,5E-80,True,True,1,0,0,-0.0572137639846448223423533351,0
absolute,4,monte_carlo,paper_quick_mc_0029,reference_parallel_lmsr,True,1.771685969106177454263616479E-29,True,True,1,0,0,0.0449322730719803026147505258,0
absolute,5,monte_carlo,paper_quick_mc_0016,reference_parallel_lmsr,True,3.272884609945784148153611250E-29,True,True,1,0,0,-0.0444976204240731570698482298,0
absolute,6,monte_carlo,paper_quick_mc_0011,reference_parallel_lmsr,True,2.425292012351642770663578643E-29,True,True,1,0,0,0.0395454237639616796959655389,0
absolute,7,monte_carlo,paper_quick_mc_0034,reference_parallel_lmsr,True,1.894970869560399459792728364E-29,True,True,1,0,0,-0.0392158591592460667229616930,0
absolute,8,monte_carlo,paper_quick_mc_0050,reference_parallel_lmsr,True,8.002100055802891919539174941E-29,True,True,1,0,0,0.0391823160654158494984529023,0
absolute,9,monte_carlo,paper_quick_mc_0039,reference_parallel_lmsr,True,4.652438973324767975508992382E-29,True,True,1,0,0,0.0386294867677368694024673671,0
absolute,10,monte_carlo,paper_quick_mc_0001,reference_parallel_lmsr,True,3E-80,True,True,1,0,0,-0.0294829691207040384417039526,0
