run_family,scenario_name,description,mechanism,num_outcomes,fee_bps,protocol_fee_bps,event_count,path_labels,max_price_change,all_prices_within_tolerance,all_buy_quotes_improved,lp_fairness_rows,solvency_passed,path_terminal_states,path_max_price_diff,path_max_funds_diff,invariant_failures
monte_carlo,paper_quick_mc_0000,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,150,25,16,primary,9E-80,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0001,Randomized active-LP cancellation path.,reference_parallel_lmsr,5,200,25,14,primary,3E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0002,Randomized active-LP resolved market path.,reference_parallel_lmsr,3,100,25,18,primary,8.525866546480199814809935659E-29,True,True,4,True,1,0,0,0
monte_carlo,paper_quick_mc_0003,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,50,25,14,primary,4E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0004,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,200,50,18,primary,3.468254383721979684021025898E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0005,Randomized active-LP cancellation path.,reference_parallel_lmsr,5,50,50,18,primary,2E-80,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0006,Randomized active-LP resolved market path.,reference_parallel_lmsr,8,50,50,14,primary,7E-80,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0007,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,100,0,12,primary,1E-81,True,True,2,True,1,0,0,0
monte_carlo,paper_quick_mc_0008,Randomized active-LP resolved market path.,reference_parallel_lmsr,12,100,25,18,primary,2.616487197296902194837044602E-29,True,True,3,True,1,0,0,0
monte_carlo,paper_quick_mc_0009,Randomized active-LP resolved market path.,reference_parallel_lmsr,5,200,50,14,primary,4E-80,True,True,2,True,1,0,0,0
