direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,monte_carlo,linear_lambda_0020_mc_0028,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,,,0
positive,2,monte_carlo,linear_lambda_0020_mc_0028,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,1.608405871700705350948173080E-26,0,0
positive,3,monte_carlo,linear_lambda_0020_mc_0056,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1904544640480993165501604534,0,161.4998922983885793387826226,161.4998922983885793387826226,,,0
positive,4,monte_carlo,linear_lambda_0020_mc_0056,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1904544640480993165501604534,0,161.4998922983885793387826226,161.4998922983885793387826226,1.353201560190050235692361079E-27,0,0
positive,5,monte_carlo,linear_lambda_0020_mc_0011,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,,,0
negative,1,monte_carlo,linear_lambda_0020_mc_0037,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1175124456626400942720847091,0E-28,393.3598626548193859701623256,393.3598626548193859701623256,9.467723636119261821283889336E-27,1E-27,0
negative,2,monte_carlo,linear_lambda_0020_mc_0037,reference_parallel_lmsr_reserve_residual,True,3.143687057787538093212548344E-29,True,True,1,0,0,0,-0.1175124456626400942720847085,0E-28,393.3598626548193859701623254,393.3598626548193859701623254,,,0
negative,3,monte_carlo,linear_lambda_0020_mc_0038,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1154333812974578549709001071,0,363.4056723904655939208199528,363.4056723904655939208199528,1.011623775343588854927616804E-26,1E-27,0
negative,4,monte_carlo,linear_lambda_0020_mc_0038,reference_parallel_lmsr_reserve_residual,True,4.538905482157159490687366396E-29,True,True,1,0,0,0,-0.1154333812974578549709001070,0,363.4056723904655939208199527,363.4056723904655939208199526,,,0
negative,5,monte_carlo,linear_lambda_0020_mc_0008,reference_parallel_lmsr_reserve_residual,True,3.260359541416292103295782211E-29,True,True,1,0,0,0,-0.1009863836280613598222500549,0,469.6511251530314511374296221,469.6511251530314511374296221,,,0
absolute,1,monte_carlo,linear_lambda_0020_mc_0028,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,,,0
absolute,2,monte_carlo,linear_lambda_0020_mc_0028,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,1.608405871700705350948173080E-26,0,0
absolute,3,monte_carlo,linear_lambda_0020_mc_0056,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1904544640480993165501604534,0,161.4998922983885793387826226,161.4998922983885793387826226,,,0
absolute,4,monte_carlo,linear_lambda_0020_mc_0056,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1904544640480993165501604534,0,161.4998922983885793387826226,161.4998922983885793387826226,1.353201560190050235692361079E-27,0,0
absolute,5,monte_carlo,linear_lambda_0020_mc_0011,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,,,0
absolute,6,monte_carlo,linear_lambda_0020_mc_0011,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,1.298551221338009102642402747E-26,0,0
absolute,7,monte_carlo,linear_lambda_0020_mc_0027,reference_parallel_lmsr_reserve_residual,True,0.0,True,True,1,0,0,0,0.1292407272273951411308309686,0,230.9042107975752625861958209,230.9042107975752625861958209,,,0
absolute,8,monte_carlo,linear_lambda_0020_mc_0027,global_state_fungible_fees_reserve_residual,True,0.0,True,True,1,0,0,0,0.1292407272273951411308309686,0,230.9042107975752625861958209,230.9042107975752625861958209,8.721270887817605110560593681E-27,0,0
absolute,9,adversarial,linear_lambda_0020_adv_0015,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.119399813162087808863526510,0,158.5806206373584448131647887,158.5806206373584448131647886,,,0
absolute,10,adversarial,linear_lambda_0020_adv_0015,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.119399813162087808863526510,0,158.5806206373584448131647887,158.5806206373584448131647886,3.612477245367668653049647992E-27,0,0
