run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
deterministic,neutral_late_lp,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0477244803692801411417023639,0,174.8128461734194530408298682,174.8128461734194530408298682,,,0
deterministic,neutral_late_lp,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0477244803692801411417023639,0,174.8128461734194530408298682,174.8128461734194530408298682,3.318756508239871852862705333E-27,0,0
deterministic,skewed_late_lp,reference_parallel_lmsr_reserve_residual,True,2.373209603267881507115591096E-29,True,True,1,0,0,0,-0.0344500577814270787721617315,0,172.3073872222507602353057863,172.3073872222507602353057863,,,0
deterministic,skewed_late_lp,global_state_fungible_fees_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0344500577814270787721617315,0,172.3073872222507602353057863,172.3073872222507602353057863,1.562319718237439645619824510E-26,0,0
deterministic,long_tail_late_lp,reference_parallel_lmsr_reserve_residual,True,3.374692031740994479984785479E-29,True,True,1,0,0,0,-0.0580865373739515279066536188,0,430.9587163292799935179050881,430.9587163292799935179050881,,,0
deterministic,long_tail_late_lp,global_state_fungible_fees_reserve_residual,True,4E-80,True,True,1,0,0,0,-0.0580865373739515279066536189,0,430.9587163292799935179050881,430.9587163292799935179050881,4.113632320839174190388097129E-27,1E-28,0
deterministic,early_vs_late_same_delta_b,reference_parallel_lmsr_reserve_residual,True,2.624120992910607646011639570E-29,True,True,1,0,0,0,0.0136146906385050055376931653,0,189.7335490524779885235554999,189.7335490524779885235554999,,,0
deterministic,early_vs_late_same_delta_b,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0136146906385050055376931653,0,189.7335490524779885235554999,189.7335490524779885235554999,4.571362005618872722001083632E-27,0,0
deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,2,0,0.00003325045902808599741453,40.61779537438579759821320121,0.0826622111500687538752476521,0,163.7003719768995612387760522,163.7003719768995612387760522,,,0
deterministic,same_final_claims_different_timing,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,2,0,0.00003325045902808599741443,40.61779537438579759821320121,0.0826622111500687538752476521,0,163.7003719768995612387760522,163.7003719768995612387760522,2.553817375184889134398271775E-27,0,0
deterministic,cancellation_refund_path,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.0834398519070445144115184642,0E-27,174.9010791734211691006217323,174.9010791734211691006217323,,,0
deterministic,cancellation_refund_path,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.0834398519070445144115184642,0E-27,174.9010791734211691006217323,174.9010791734211691006217323,1.185701875453484651450107352E-26,0,0
deterministic,repeated_lp_entries,reference_parallel_lmsr_reserve_residual,True,3.709404702152548257295422586E-29,True,True,1,0,0,0,-0.0345243937302497109166158842,0,212.3419422003601733705637673,212.3419422003601733705637672,,,0
deterministic,repeated_lp_entries,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.0345243937302497109166158849,0,212.3419422003601733705637674,212.3419422003601733705637674,1.608465989152222864691681163E-26,1.6E-27,0
deterministic,zero_flow_nav_invariance,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,1,0,0,0,0.0000857418094000871563931488,0,0,0,,,0
deterministic,zero_flow_nav_invariance,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.0000857418094000871563931488,0,0,0,6.417475502583301159305912706E-27,0,0
deterministic,same_block_trade_reordering,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,2,0,0.00002464681597011885414893,35.20358755885683795307321925,0.0760486852618000409244857884,0,159.8811839265850595564737302,159.8811839265850595564737302,,,0
deterministic,same_block_trade_reordering,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,2,0,0.00002464681597011885414893,35.20358755885683795307321925,0.0760486852618000409244857884,0,159.8811839265850595564737302,159.8811839265850595564737302,8.734780043416597363130665602E-27,0,0
deterministic,reserve_residual_claim_ordering,reference_parallel_lmsr_reserve_residual,True,2.278464662389038128671194182E-29,True,True,2,0,3E-26,0,0.0168549913382322155979803855,0,186.0873582170831912662541320,184.2345449439116726932713014,,,0
deterministic,reserve_residual_claim_ordering,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,2,0,3E-26,0,0.0168549913382322155979803856,0,186.0873582170831912662541320,184.2345449439116726932713014,4.920657578500256974433079572E-27,1E-28,0
monte_carlo,linear_lambda_003225_mc_0000,reference_parallel_lmsr_reserve_residual,True,3E-80,True,True,1,0,0,0,-0.0967199057241355052375018002,0,409.4313543243461388254690101,409.4313543243461388254690101,,,0
monte_carlo,linear_lambda_003225_mc_0000,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,-0.0967199057241355052375018004,0,409.4313543243461388254690100,409.4313543243461388254690100,4.818225141535780211234801560E-27,2E-28,0
monte_carlo,linear_lambda_003225_mc_0001,reference_parallel_lmsr_reserve_residual,True,7.090380953608790992570191418E-29,True,True,1,0,0,0,-0.0501953555592261694456112142,0,368.2314480124484362302657966,368.2314480124484362302657966,,,0
monte_carlo,linear_lambda_003225_mc_0001,global_state_fungible_fees_reserve_residual,True,0.0,True,True,1,0,0,0,-0.0501953555592261694456112142,0,368.2314480124484362302657966,368.2314480124484362302657966,9.933320080087925411614198562E-27,0,0
monte_carlo,linear_lambda_003225_mc_0002,reference_parallel_lmsr_reserve_residual,True,3E-80,True,True,1,0,0,0,-0.013146263375995661356886769,0,172.8911141701490892713161165,172.8911141701490892713161165,,,0
monte_carlo,linear_lambda_003225_mc_0002,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.013146263375995661356886769,0,172.8911141701490892713161165,172.8911141701490892713161165,8.002228187533228734314465823E-27,0,0
monte_carlo,linear_lambda_003225_mc_0003,reference_parallel_lmsr_reserve_residual,True,2.316989624228930019503609430E-29,True,True,1,0,0,0,-0.0944697450621220749616328169,0E-28,592.1023932339193733788662023,592.1023932339193733788662023,,,0
monte_carlo,linear_lambda_003225_mc_0003,global_state_fungible_fees_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0944697450621220749616328169,0E-28,592.1023932339193733788662023,592.1023932339193733788662023,6.061730306831811422026885598E-27,0,0
monte_carlo,linear_lambda_003225_mc_0004,reference_parallel_lmsr_reserve_residual,True,7.205642035458997915770141148E-29,True,True,1,0,0,0,-0.1134935208618344685402522541,0E-27,197.3360669500870833357421488,197.3360669500870833357421488,,,0
