direction,rank,run_family,scenario_name,mechanism,price_continuity_pass,max_price_change,slippage_pass,solvency_pass,path_terminal_states,path_max_price_diff,path_max_funds_diff,path_max_residual_claimed_diff,fairness_gap_nav_per_deposit,reserve_required,releasable_pool,total_residual_claimed,divergence_max_quote_diff_vs_reference,divergence_max_nav_per_deposit_diff_vs_reference,invariant_failures
positive,1,monte_carlo,linear_lambda_0020_mc_0028,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,,,0
positive,2,monte_carlo,linear_lambda_0020_mc_0028,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,1.608405871700705350948173080E-26,0,0
positive,3,monte_carlo,linear_lambda_0020_mc_0011,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,,,0
positive,4,monte_carlo,linear_lambda_0020_mc_0011,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,1.298551221338009102642402747E-26,0,0
positive,5,monte_carlo,linear_lambda_0020_mc_0027,reference_parallel_lmsr_reserve_residual,True,0.0,True,True,1,0,0,0,0.1292407272273951411308309686,0,230.9042107975752625861958209,230.9042107975752625861958209,,,0
negative,1,monte_carlo,linear_lambda_0020_mc_0008,reference_parallel_lmsr_reserve_residual,True,3.260359541416292103295782211E-29,True,True,1,0,0,0,-0.1009863836280613598222500549,0,469.6511251530314511374296221,469.6511251530314511374296221,,,0
negative,2,monte_carlo,linear_lambda_0020_mc_0008,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.1009863836280613598222500549,0,469.6511251530314511374296221,469.6511251530314511374296221,6.139490321281634299227956773E-27,0,0
negative,3,monte_carlo,linear_lambda_0020_mc_0009,global_state_fungible_fees_reserve_residual,True,1E-80,True,True,1,0,0,0,-0.0697175270994913917264945829,0,274.0618012082057462337290211,274.0618012082057462337290210,6.180134616456550039093444592E-27,2E-28,0
negative,4,monte_carlo,linear_lambda_0020_mc_0009,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,-0.0697175270994913917264945827,0,274.0618012082057462337290211,274.0618012082057462337290210,,,0
negative,5,monte_carlo,linear_lambda_0020_mc_0019,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,-0.0628144069964690337540605303,0,265.7847469564354412147124814,265.7847469564354412147124814,6.038934130727919080557850405E-27,2E-28,0
absolute,1,monte_carlo,linear_lambda_0020_mc_0028,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,,,0
absolute,2,monte_carlo,linear_lambda_0020_mc_0028,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.2024992876114914472650003524,0,151.1280046193069173672325622,151.1280046193069173672325622,1.608405871700705350948173080E-26,0,0
absolute,3,monte_carlo,linear_lambda_0020_mc_0011,reference_parallel_lmsr_reserve_residual,True,4E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,,,0
absolute,4,monte_carlo,linear_lambda_0020_mc_0011,global_state_fungible_fees_reserve_residual,True,2E-80,True,True,1,0,0,0,0.1349170926306584672609317422,0,141.0298586695120931141187127,141.0298586695120931141187126,1.298551221338009102642402747E-26,0,0
absolute,5,monte_carlo,linear_lambda_0020_mc_0027,reference_parallel_lmsr_reserve_residual,True,0.0,True,True,1,0,0,0,0.1292407272273951411308309686,0,230.9042107975752625861958209,230.9042107975752625861958209,,,0
absolute,6,monte_carlo,linear_lambda_0020_mc_0027,global_state_fungible_fees_reserve_residual,True,0.0,True,True,1,0,0,0,0.1292407272273951411308309686,0,230.9042107975752625861958209,230.9042107975752625861958209,8.721270887817605110560593681E-27,0,0
absolute,7,deterministic,cancellation_refund_path,reference_parallel_lmsr_reserve_residual,True,2E-80,True,True,1,0,0,0,0.1065675431284386942610957996,0E-27,174.9010791734211691006217323,174.9010791734211691006217323,,,0
absolute,8,deterministic,cancellation_refund_path,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,1,0,0,0,0.1065675431284386942610957996,0E-27,174.9010791734211691006217323,174.9010791734211691006217323,1.185701875453484651450107352E-26,0,0
absolute,9,deterministic,same_final_claims_different_timing,reference_parallel_lmsr_reserve_residual,True,1E-80,True,True,2,0,0.00003325045902808599741452,41.26519071993867056157512671,0.1040747361998305948299002637,0,163.7003719768995612387760522,163.7003719768995612387760522,,,0
absolute,10,deterministic,same_final_claims_different_timing,global_state_fungible_fees_reserve_residual,True,0E-80,True,True,2,0,0.00003325045902808599741442,41.26519071993867056157512671,0.1040747361998305948299002637,0,163.7003719768995612387760522,163.7003719768995612387760522,2.553817375184889134398271775E-27,0,0
