pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.7,all_attentive,uniform,strategic,0.1096,0.9889212827988338,2.7424,1004.4,32.1408,0.657,1.0,1.0,10.0,10.0,0.0,0.0,1088856.8265811417,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.7,majority_lazy,uniform,strategic,0.7536,0.3441963387648361,0.8216,1006.65,32.2128,0.005800000000000027,1.0,1.0,10.0,10.0,0.0,0.0,5663370.112300569,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.8,all_attentive,uniform,strategic,0.0032,0.6551724137931034,0.046,752.85,24.0912,0.9942,1.0,1.0,10.0,10.0,0.0,0.0,25975.64030865606,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.8,majority_lazy,uniform,strategic,0.7128,0.3349027635619243,0.7816,995.4,31.8528,0.02300000000000002,1.0,1.0,10.0,10.0,0.0,0.0,5383998.0303588,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,all_attentive,uniform,strategic,0.0032,0.375,0.0386,751.35,24.0432,0.9952,1.0,1.0,10.0,10.0,0.0,0.0,24098.3638720679,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6714,0.3272035510462904,0.7462,982.2,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,5047848.490681772,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.95,all_attentive,uniform,strategic,0.0028,0.17647058823529413,0.027,750.45,24.0144,0.9966,1.0,1.0,10.0,10.0,0.0,0.0,20694.234560013785,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.95,majority_lazy,uniform,strategic,0.6502,0.31057797164667394,0.7258,963.6,30.8352,0.08299999999999996,1.0,1.0,10.0,10.0,0.0,0.0,4971847.499547612,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,1.0,all_attentive,uniform,strategic,0.0026,0.13333333333333333,0.0238,750.3,24.0096,0.997,1.0,1.0,10.0,10.0,0.0,0.0,18646.641612134652,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,1.0,majority_lazy,uniform,strategic,0.6162,0.3122767857142857,0.7,959.85,30.7152,0.10399999999999998,1.0,1.0,10.0,10.0,0.0,0.0,4670315.96175776,5000
