pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
50,10,flat,0.1,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6594,0.2941307743807186,0.682,12.636,30.3264,0.1038,1.0,1.0,10.0,10.0,0.0,0.0,50156.722347307135,5000
50,10,pool_proportional,0.05,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6594,0.2941307743807186,0.682,12.636,30.3264,0.1038,1.0,1.0,10.0,10.0,0.0,0.0,50156.722347307135,5000
50,10,pool_proportional,0.1,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6594,0.2941307743807186,0.682,12.636,30.3264,0.1038,1.0,1.0,10.0,10.0,0.0,0.0,50156.722347307135,5000
50,10,pool_proportional,0.15,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6594,0.2941307743807186,0.682,12.636,30.3264,0.1038,1.0,1.0,10.0,10.0,0.0,0.0,50156.722347307135,5000
50,10,pool_proportional,0.2,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6594,0.2941307743807186,0.682,12.636,30.3264,0.1038,1.0,1.0,10.0,10.0,0.0,0.0,50156.722347307135,5000
50,10,pool_proportional,0.25,10.0,,12.5,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6208,0.281663061763999,0.6104,15.43,29.6256,0.16779999999999995,1.0,1.0,10.0,10.0,0.0,0.0,47811.737729468354,5000
50,10,pool_proportional,0.3,10.0,,15.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.5922,0.2656731757451182,0.5644,18.102,28.9632,0.22160000000000002,1.0,1.0,10.0,10.0,0.0,0.0,45917.807144448365,5000
500,10,flat,0.1,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6826,0.3478,0.827,13.478,32.3472,0.0,1.0,1.0,10.0,10.0,0.0,0.0,510150.64289342053,5000
500,10,pool_proportional,0.05,10.0,,25.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6876,0.3433373349339736,0.8202,33.58,32.2368,0.00039999999999995595,1.0,1.0,10.0,10.0,0.0,0.0,513843.42360108416,5000
500,10,pool_proportional,0.1,10.0,,50.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6778,0.3418263350998777,0.801,66.77,32.0496,0.01880000000000004,1.0,1.0,10.0,10.0,0.0,0.0,512940.0304934521,5000
500,10,pool_proportional,0.15,10.0,,75.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6714,0.3272035510462904,0.7462,98.22,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,504784.8490681763,5000
500,10,pool_proportional,0.2,10.0,,100.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6594,0.2941307743807186,0.682,126.36,30.3264,0.1038,1.0,1.0,10.0,10.0,0.0,0.0,501567.22347306984,5000
500,10,pool_proportional,0.25,10.0,,125.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6208,0.281663061763999,0.6104,154.3,29.6256,0.16779999999999995,1.0,1.0,10.0,10.0,0.0,0.0,478117.37729468313,5000
500,10,pool_proportional,0.3,10.0,,150.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.5922,0.2656731757451182,0.5644,181.02,28.9632,0.22160000000000002,1.0,1.0,10.0,10.0,0.0,0.0,459178.0714444839,5000
5000,10,flat,0.1,10.0,,10.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6826,0.3478,0.827,13.478,32.3472,0.0,1.0,1.0,10.0,10.0,0.0,0.0,5101506.428934212,5000
