pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.1,0.9,stake_proportional,uniform,strategic,0.9866,0.0146,0.0322,760.95,24.3504,0.0,1.0,1.0,3.0,3.0,0.0,0.0,7426226.982460655,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.5,0.9,stake_proportional,uniform,strategic,0.938,0.07,0.1512,802.5,25.68,0.0,1.0,1.0,3.0,3.0,0.0,0.0,7006482.778057297,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,stake_proportional,uniform,strategic,0.8718,0.1438,0.2938,857.85,27.4512,0.0,1.0,1.0,3.0,3.0,0.0,0.0,6537869.129843616,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,2.0,0.9,stake_proportional,uniform,strategic,0.7794,0.24467657693852954,0.5226,932.7,29.8464,0.0043999999999999595,1.0,1.0,3.0,3.0,0.0,0.0,5853067.040050367,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.1,0.9,stake_proportional,uniform,strategic,0.9824,0.0194,0.0374,764.55,24.4656,0.0,1.0,1.0,5.0,5.0,0.0,0.0,7354914.405138578,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.5,0.9,stake_proportional,uniform,strategic,0.916,0.091,0.1844,818.25,26.184,0.0,1.0,1.0,5.0,5.0,0.0,0.0,6853991.874832833,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,stake_proportional,uniform,strategic,0.8628,0.1544,0.3506,865.8,27.7056,0.0,1.0,1.0,5.0,5.0,0.0,0.0,6469694.097290037,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,2.0,0.9,stake_proportional,uniform,strategic,0.7268,0.30296355626752103,0.6954,976.95,31.2624,0.0011999999999999789,1.0,1.0,5.0,5.0,0.0,0.0,5449867.352309355,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.1,0.9,stake_proportional,uniform,strategic,0.9806,0.021,0.042,765.75,24.504,0.0,1.0,1.0,10.0,10.0,0.0,0.0,7390105.633542935,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.5,0.9,stake_proportional,uniform,strategic,0.9108,0.1018,0.2116,826.35,26.4432,0.0,1.0,1.0,10.0,10.0,0.0,0.0,6859725.519094566,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,stake_proportional,uniform,strategic,0.835,0.1842,0.4144,888.15,28.4208,0.0,1.0,1.0,10.0,10.0,0.0,0.0,6307063.120831397,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,2.0,0.9,stake_proportional,uniform,strategic,0.6868,0.3483483483483483,0.836,1011.0,32.352,0.0010000000000000009,1.0,1.0,10.0,10.0,0.0,0.0,5159637.522307433,5000
5000,30,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.1,0.9,stake_proportional,uniform,strategic,0.9842,0.0188,0.042,764.1,24.4512,0.0,1.0,1.0,30.0,30.0,0.0,0.0,7343405.542281003,5000
5000,30,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.5,0.9,stake_proportional,uniform,strategic,0.8998,0.112,0.2318,834.0,26.688,0.0,1.0,1.0,30.0,30.0,0.0,0.0,6806799.016896706,5000
5000,30,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,stake_proportional,uniform,strategic,0.821,0.2022,0.465,901.65,28.8528,0.0,1.0,1.0,30.0,30.0,0.0,0.0,6198965.073815083,5000
5000,30,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,2.0,0.9,stake_proportional,uniform,strategic,0.666,0.372,0.931,1029.0,32.928,0.0,1.0,1.0,30.0,30.0,0.0,0.0,4985539.286915999,5000
5000,100,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.1,0.9,stake_proportional,uniform,strategic,1.0,0.0,0.0,750.0,24.0,0.0,1.0,1.0,100.0,100.0,0.0,0.0,7478291.799714404,5000
5000,100,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,0.5,0.9,stake_proportional,uniform,strategic,0.898,0.1098,0.2322,832.35,26.6352,0.0,1.0,1.0,100.0,100.0,0.0,0.0,6734538.438202534,5000
5000,100,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,stake_proportional,uniform,strategic,0.8054,0.2128,0.4776,909.6,29.1072,0.0,1.0,1.0,100.0,100.0,0.0,0.0,6067597.878883548,5000
5000,100,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,2.0,0.9,stake_proportional,uniform,strategic,0.66,0.374,0.9286,1030.5,32.976,0.0,1.0,1.0,100.0,100.0,0.0,0.0,4913811.452651084,5000
