pool_size,bond_structure,bond_rate,proposer_bond,false_resolution_rate,challenge_rate,deterrence,mean_bond_locked
50,flat,0.1,10.0,0.6594,0.2941,0.1038,12.64
50,pool_proportional,0.05,10.0,0.6594,0.2941,0.1038,12.64
50,pool_proportional,0.1,10.0,0.6594,0.2941,0.1038,12.64
50,pool_proportional,0.15,10.0,0.6594,0.2941,0.1038,12.64
50,pool_proportional,0.2,10.0,0.6594,0.2941,0.1038,12.64
50,pool_proportional,0.25,12.5,0.6208,0.2817,0.1678,15.43
50,pool_proportional,0.3,15.0,0.5922,0.2657,0.2216,18.10
500,flat,0.1,10.0,0.6826,0.3478,0.0000,13.48
500,pool_proportional,0.05,25.0,0.6876,0.3433,0.0004,33.58
500,pool_proportional,0.1,50.0,0.6778,0.3418,0.0188,66.77
500,pool_proportional,0.15,75.0,0.6714,0.3272,0.0538,98.22
500,pool_proportional,0.2,100.0,0.6594,0.2941,0.1038,126.36
500,pool_proportional,0.25,125.0,0.6208,0.2817,0.1678,154.30
500,pool_proportional,0.3,150.0,0.5922,0.2657,0.2216,181.02
5000,flat,0.1,10.0,0.6826,0.3478,0.0000,13.48
5000,pool_proportional,0.05,250.0,0.6876,0.3433,0.0004,335.80
5000,pool_proportional,0.1,500.0,0.6778,0.3418,0.0188,667.70
5000,pool_proportional,0.15,750.0,0.6714,0.3272,0.0538,982.20
5000,pool_proportional,0.2,1000.0,0.6594,0.2941,0.1038,1263.60
5000,pool_proportional,0.25,1250.0,0.6208,0.2817,0.1678,1543.00
5000,pool_proportional,0.3,1500.0,0.5922,0.2657,0.2216,1810.20
50000,flat,0.1,10.0,0.6826,0.3478,0.0000,13.48
50000,pool_proportional,0.05,2500.0,0.6876,0.3433,0.0004,3358.00
50000,pool_proportional,0.1,5000.0,0.6778,0.3418,0.0188,6677.00
50000,pool_proportional,0.15,7500.0,0.6714,0.3272,0.0538,9822.00
50000,pool_proportional,0.2,10000.0,0.6594,0.2941,0.1038,12636.00
50000,pool_proportional,0.25,12500.0,0.6208,0.2817,0.1678,15430.00
50000,pool_proportional,0.3,15000.0,0.5922,0.2657,0.2216,18102.00
