num_participants,attention_coefficient,false_resolution_rate,mean_verification_coverage,challenge_rate
3,0.1,0.9866,0.0322,0.0146
3,0.5,0.9380,0.1512,0.0700
3,1.0,0.8718,0.2938,0.1438
3,2.0,0.7794,0.5226,0.2447
5,0.1,0.9824,0.0374,0.0194
5,0.5,0.9160,0.1844,0.0910
5,1.0,0.8628,0.3506,0.1544
5,2.0,0.7268,0.6954,0.3030
10,0.1,0.9806,0.0420,0.0210
10,0.5,0.9108,0.2116,0.1018
10,1.0,0.8350,0.4144,0.1842
10,2.0,0.6868,0.8360,0.3483
30,0.1,0.9842,0.0420,0.0188
30,0.5,0.8998,0.2318,0.1120
30,1.0,0.8210,0.4650,0.2022
30,2.0,0.6660,0.9310,0.3720
100,0.1,1.0000,0.0000,0.0000
100,0.5,0.8980,0.2322,0.1098
100,1.0,0.8054,0.4776,0.2128
100,2.0,0.6600,0.9286,0.3740
