num_participants,bounty_fraction,false_resolution_rate,mean_verification_coverage,challenge_rate,deterrence
3,0.0,0.9122,0.1862,0.0961,0.0006
3,0.05,0.8618,0.2542,0.1534,0.0014
3,0.1,0.8358,0.2832,0.1832,0.0010
3,0.15,0.8122,0.3140,0.2058,0.0018
3,0.2,0.7972,0.3322,0.2204,0.0020
5,0.0,0.8336,0.3612,0.1765,0.0074
5,0.05,0.7782,0.4460,0.2377,0.0090
5,0.1,0.7486,0.4688,0.2631,0.0118
5,0.15,0.7352,0.4800,0.2755,0.0150
5,0.2,0.7228,0.5044,0.2917,0.0148
10,0.0,0.6714,0.7462,0.3272,0.0538
10,0.05,0.6182,0.8082,0.3731,0.0700
10,0.1,0.5938,0.8150,0.3888,0.0752
10,0.15,0.5838,0.8286,0.3979,0.0868
10,0.2,0.5744,0.8298,0.4074,0.0908
30,0.0,0.1806,0.9176,0.6127,0.5972
30,0.05,0.1674,0.8752,0.6124,0.6238
30,0.1,0.1492,0.8192,0.6284,0.6534
30,0.15,0.1428,0.7836,0.6336,0.6676
30,0.2,0.1426,0.7842,0.6304,0.6694
