pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
1000,10,pool_proportional,0.15,10.0,,150.0,position_bounded,retail_heavy,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6724,0.32689859991514636,0.7388,196.23,31.3968,0.05720000000000003,1.0,1.0,8.7614,8.7614,0.0,0.0,895326.1572945776,5000
1000,10,pool_proportional,0.15,10.0,,150.0,position_bounded,mixed,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.685,0.3183536329273415,0.7438,195.48,31.2768,0.047599999999999976,1.0,1.0,10.0,10.0,0.0,0.0,960697.919824267,5000
1000,10,pool_proportional,0.15,10.0,,150.0,position_bounded,specialized,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.685,0.3183536329273415,0.7438,195.48,31.2768,0.047599999999999976,1.0,1.0,10.0,10.0,0.0,0.0,960697.919824267,5000
5000,10,pool_proportional,0.15,10.0,,750.0,position_bounded,retail_heavy,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6042630203096723,0.27680798004987534,0.6110999396742409,917.4039815001006,29.356927408003216,0.19364568670822446,0.9946,0.9946,3.8788,3.8788,0.05067363764327368,0.05067363764327368,2880880.088159015,5000
5000,10,pool_proportional,0.15,10.0,,750.0,position_bounded,mixed,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6664,0.3217948717948718,0.7302,975.9,31.2288,0.06399999999999995,1.0,1.0,8.3496,8.3496,0.0,0.0,4342192.377415302,5000
5000,10,pool_proportional,0.15,10.0,,750.0,position_bounded,specialized,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.685,0.3183536329273415,0.7438,977.4,31.2768,0.047599999999999976,1.0,1.0,10.0,10.0,0.0,0.0,4803489.599121545,5000
10000,10,pool_proportional,0.15,10.0,,1500.0,position_bounded,retail_heavy,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.5656069980797952,0.25313137197786195,0.5286963942820567,1778.1096650309366,28.449754640494987,0.26754853851077454,0.9374,0.9374,2.3926,2.3926,0.22231704715169617,0.22231704715169617,4314749.501115293,5000
10000,10,pool_proportional,0.15,10.0,,1500.0,position_bounded,mixed,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6632,0.30221831759279594,0.6994,1912.8,30.6048,0.08940000000000003,1.0,1.0,7.2958,7.2958,0.0002,0.0002,8183773.072338625,5000
10000,10,pool_proportional,0.15,10.0,,1500.0,position_bounded,specialized,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.6858,0.313919259882254,0.7398,1947.9,31.1664,0.048799999999999955,1.0,1.0,9.6162,9.6162,0.0,0.0,9456935.142734759,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,retail_heavy,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.48835662009314706,0.24761904761904763,0.44377910844976715,8667.664670658683,27.736526946107784,0.37125748502994016,0.3006,0.3006,0.353,0.353,0.8416500332667998,0.8416500332667998,4482790.964142853,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,mixed,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.5833672224481496,0.2713949227950798,0.5666937779585197,9081.435542903619,29.060593737291583,0.22305815372102478,0.9836,0.9836,3.3604,3.3604,0.09048393655957707,0.09048393655957707,26032866.67603495,5000
50000,10,pool_proportional,0.15,10.0,,7500.0,position_bounded,specialized,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,power_law,strategic,0.664,0.30676062541290466,0.6928,9589.5,30.6864,0.09179999999999999,1.0,1.0,7.1234,7.1234,0.0,0.0,40643029.118401095,5000
