pool_size,num_participants,bond_structure,bond_rate,flat_bond,bond_cap,proposer_bond,proposer_mev_model,proposer_budget_profile,proposer_fee,proposer_work_cost,proposer_capital_cost_apy,bounty_fraction,challenge_window_hours,attention_coefficient,adjudicator_accuracy,challenger_mix,stake_distribution,proposer_type,false_resolution_rate,challenge_rate,mean_verification_coverage,mean_bond_locked,mean_time_to_finalization,proposer_deterrence,proposer_liveness_rate,capital_eligibility_rate,mean_eligible_proposers,mean_willing_proposers,single_eligible_rate,single_willing_rate,welfare_loss,num_episodes
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.9122,0.09605763458074845,0.1862,822.0,26.304,0.0006000000000000449,1.0,1.0,3.0,3.0,0.0,0.0,6826414.310501833,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.05,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.8618,0.15341478069297015,0.2542,864.9,27.6768,0.0013999999999999568,1.0,1.0,3.0,3.0,0.0,0.0,6485538.8618339915,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.1,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.8358,0.1831831831831832,0.2832,887.25,28.392,0.0010000000000000009,1.0,1.0,3.0,3.0,0.0,0.0,6308252.863504213,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.15,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.8122,0.20577038669605288,0.314,904.05,28.9296,0.0018000000000000238,1.0,1.0,3.0,3.0,0.0,0.0,6071362.41758016,5000
5000,3,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.2,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.7972,0.22044088176352705,0.3322,915.0,29.28,0.0020000000000000018,1.0,1.0,3.0,3.0,0.0,0.0,5972624.473350329,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.8336,0.1765061454765263,0.3612,881.4,28.2048,0.007399999999999962,1.0,1.0,5.0,5.0,0.0,0.0,6305341.747658487,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.05,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.7782,0.23773965691220988,0.446,926.7,29.6544,0.009000000000000008,1.0,1.0,5.0,5.0,0.0,0.0,5863158.044997675,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.1,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.7486,0.26310463468933415,0.4688,945.0,30.24,0.011800000000000033,1.0,1.0,5.0,5.0,0.0,0.0,5597364.022800617,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.15,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.7352,0.27553299492385785,0.48,953.55,30.5136,0.015000000000000013,1.0,1.0,5.0,5.0,0.0,0.0,5488415.900641728,5000
5000,5,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.2,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.7228,0.2917174177831912,0.5044,965.55,30.8976,0.014800000000000035,1.0,1.0,5.0,5.0,0.0,0.0,5393587.62089884,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.0,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6714,0.3272035510462904,0.7462,982.2,31.4304,0.05379999999999996,1.0,1.0,10.0,10.0,0.0,0.0,5047848.490681772,5000
5000,10,pool_proportional,0.15,10.0,,750.0,pool_fraction,unconstrained,0.0,0.0,0.0,0.05,24.0,1.0,0.9,majority_lazy,uniform,strategic,0.6182,0.37311827956989246,0.8082,1010.25,32.328,0.06999999999999995,1.0,1.0,10.0,10.0,0.0,0.0,4684496.544785478,5000
